State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Class_1,WC_Rate_1,WC_Label_1,WC_Class_2,WC_Rate_2,WC_Label_2
AL,0.8,1.7,32.1,30,5645,14.07,,,0,
AK,0.8,1.3,34.9,0,5645,9.78,,,0,
AZ,0.8,1.4,40.0,30,5645,10.17,,,0,
AR,0.6,1.2,48.3,80,5645,6.33,,,0,
CA,1.1,1.6,23.8,10,5645,8.46,,,0,
CO,0.8,1.6,35.9,30,5645,7.4,,,0,
CT,0.9,2.1,28.8,20,5645,17.17,,,0,
DE,1.1,1.9,30.9,30,5645,9.06,,,0,
FL,1.1,1.9,41.2,30,5645,12.61,,,0,
GA,0.3,1.0,36.5,70,5645,43.42,,,0,
HI,0.6,0.9,2.2,0,5645,10.6,,,0,
ID,0.6,1.2,32.8,80,5645,12.93,,,0,
IL,1.2,2.1,34.7,20,5645,19.23,,,0,
IN,0.8,1.4,34.7,70,5645,5.56,,,0,
IA,0.6,1.3,42.9,30,5645,9.65,,,0,
KS,0.7,1.1,36.8,80,5645,10.53,,,0,
KY,0.7,1.5,50.0,60,5645,9.81,,,0,
LA,2.1,3.6,18.8,10,5645,17.76,,,0,
ME,0.8,1.3,30.3,80,5645,10.58,,,0,
MD,0.6,1.1,42.6,30,5645,7.23,,,0,
MA,1.0,1.6,28.4,30,5645,6.93,,,0,
MI,0.7,1.2,43.3,80,5645,10.27,,,0,
MN,0.6,1.1,40.4,60,5645,11.44,,,0,
MS,0.6,1.9,51.8,30,5645,9.19,,,0,
MO,0.7,1.0,20.4,10,5645,12.48,,,0,
MT,1.0,1.5,22.4,80,5645,9.85,,,0,
NE,0.4,0.8,15.4,80,5645,9.15,,,0,
NV,1.1,2.2,42.2,80,5645,7.89,,,0,
NH,1.1,1.7,32.6,80,5645,9.54,,,0,
NJ,1.5,2.7,20.9,10,5645,17.09,,,0,
NM,0.9,1.7,28.4,80,5645,12.78,,,0,
NY,1.7,3.0,20.0,0,5645,11.47,,,0,
NC,0.5,1.0,51.9,30,5645,16.73,,,0,
ND,0.7,1.1,22.9,20,5645,3.51,,,0,
OH,0.5,0.8,13.9,60,5645,4.59,,,0,
OK,0.8,1.5,34.7,30,5645,13.8,,,0,
OR,0.6,1.1,34.0,70,5645,6.7,,,0,
PA,1.0,1.9,46.2,30,5645,9.5,,,0,
RI,1.3,2.1,25.2,30,5645,9.03,,,0,
SC,1.1,3.1,60.1,30,5645,21.48,,,0,
SD,0.9,1.8,37.0,80,5645,10.29,,,0,
TN,0.6,1.3,50.8,70,5645,12.84,,,0,
TX,0.7,1.5,45.3,80,5645,4.39,,,0,
UT,0.6,1.1,18.2,10,5645,9.9,,,0,
VT,0.6,1.2,51.6,60,5645,11.5,,,0,
VA,0.4,0.7,27.3,60,5645,9.73,,,0,
WA,1.2,1.5,21.1,10,5645,8.2,,,0,
WV,1.1,2.0,43.2,30,5645,5.72,,,0,
WI,0.6,1.4,47.1,80,5645,13.07,,,0,
WY,0.6,1.0,29.8,10,5645,4.31,,,0,
